mes,subsistema,energia_armazenada
2000-01-01,Nordeste,14599.677419354841
2000-01-01,Norte,10428.354838709678
2000-01-01,Sudeste / Centro-Oeste,39381.967741935492
2000-01-01,Sul,6734.3225806451619
2000-02-01,Nordeste,22737.551724137935
2000-02-01,Norte,11706.551724137931
2000-02-01,Sudeste / Centro-Oeste,59665.999999999993
2000-02-01,Sul,6153.5862068965516
2000-03-01,Nordeste,29811.322580645163
2000-03-01,Norte,12339.774193548388
2000-03-01,Sudeste / Centro-Oeste,81075.774193548379
2000-03-01,Sul,7518.2580645161279
2000-04-01,Nordeste,35065.9
2000-04-01,Norte,12629.566666666666
2000-04-01,Sudeste / Centro-Oeste,92423.799999999974
2000-04-01,Sul,6463.1666666666661
2000-05-01,Nordeste,34718.483870967757
2000-05-01,Norte,12521.41935483871
2000-05-01,Sudeste / Centro-Oeste,87995.387096774211
2000-05-01,Sul,4934.322580645161
2000-06-01,Nordeste,32235.466666666667
2000-06-01,Norte,12313.900000000003
2000-06-01,Sudeste / Centro-Oeste,80416.53333333334
2000-06-01,Sul,3723.0000000000005
2000-07-01,Nordeste,29167.967741935488
2000-07-01,Norte,11743.935483870968
2000-07-01,Sudeste / Centro-Oeste,68766.903225806469
2000-07-01,Sul,5279.25806451613
2000-08-01,Nordeste,25384.548387096769
2000-08-01,Norte,10390.451612903229
2000-08-01,Sudeste / Centro-Oeste,56928.8064516129
2000-08-01,Sul,6365.5806451612916
2000-09-01,Nordeste,21494.133333333331
2000-09-01,Norte,8085.4
2000-09-01,Sudeste / Centro-Oeste,51266.266666666663
2000-09-01,Sul,9427.9000000000015
2000-10-01,Nordeste,17086.322580645159
2000-10-01,Norte,6082.9999999999991
2000-10-01,Sudeste / Centro-Oeste,43039.0
2000-10-01,Sul,13015.64516129032
2000-11-01,Nordeste,13783.299999999997
2000-11-01,Norte,4734.6666666666661
2000-11-01,Sudeste / Centro-Oeste,34462.4
2000-11-01,Sul,13475.833333333334
2000-12-01,Nordeste,15525.935483870968
2000-12-01,Norte,5808.1935483870975
2000-12-01,Sudeste / Centro-Oeste,39256.54838709678
2000-12-01,Sul,12622.258064516131
2001-01-01,Nordeste,20346.612903225814
2001-01-01,Norte,10143.322580645161
2001-01-01,Sudeste / Centro-Oeste,49027.870967741939
2001-01-01,Sul,13395.741935483869
2001-02-01,Nordeste,19978.928571428569
2001-02-01,Norte,10675.392857142855
2001-02-01,Sudeste / Centro-Oeste,52208.785714285717
2001-02-01,Sul,13904.071428571428
2001-03-01,Nordeste,18712.258064516129
2001-03-01,Norte,10817.41935483871
2001-03-01,Sudeste / Centro-Oeste,54554.129032258061
2001-03-01,Sul,13645.032258064515
2001-04-01,Nordeste,17621.466666666664
2001-04-01,Norte,10922.4
