mes,armazenamento
2000-01-01,39381.967741935485
2000-02-01,59665.99999999999
2000-03-01,81075.77419354838
2000-04-01,92423.79999999997
2000-05-01,87995.38709677421
2000-06-01,80416.53333333334
2000-07-01,68766.90322580647
2000-08-01,56928.8064516129
2000-09-01,51266.266666666656
2000-10-01,43039.0
2000-11-01,34462.4
2000-12-01,39256.54838709678
2001-01-01,49027.87096774194
2001-02-01,52208.78571428572
2001-03-01,54554.12903225806
2001-04-01,54515.533333333326
2001-05-01,48571.129032258046
2001-06-01,46631.966666666645
2001-07-01,44301.29032258065
2001-08-01,40196.03225806452
2001-09-01,34957.43333333334
2001-10-01,34831.67741935484
2001-11-01,35412.3
2001-12-01,44197.29032258064
2002-01-01,66666.70967741933
2002-02-01,91051.0
2002-03-01,110123.64516129032
2002-04-01,116400.8
2002-05-01,114728.22580645164
2002-06-01,112967.9
2002-07-01,108314.48387096776
2002-08-01,101037.35483870968
2002-09-01,90258.96666666669
2002-10-01,79834.64516129033
2002-11-01,70141.76666666666
2002-12-01,69561.22580645159
2003-01-01,85916.7741935484
2003-02-01,114979.03571428572
2003-03-01,125765.6129032258
2003-04-01,136467.50000000006
2003-05-01,136914.64516129033
2003-06-01,132725.36666666664
2003-07-01,124454.06451612902
2003-08-01,112196.64516129032
2003-09-01,96712.2
2003-10-01,80168.5483870968
2003-11-01,67377.50000000001
2003-12-01,65984.90322580647
2004-01-01,73908.19354838709
2004-02-01,98381.5172413793
2004-03-01,128471.25806451617
2004-04-01,140404.3666666666
2004-05-01,144733.12903225803
2004-06-01,147215.3333333333
2004-07-01,144748.19354838706
2004-08-01,138274.12903225803
2004-09-01,124769.93333333332
2004-10-01,112489.12903225808
2004-11-01,107460.23333333332
2004-12-01,107950.77419354838
2005-01-01,124298.48387096771
2005-02-01,137653.25
2005-03-01,146705.00000000003
2005-04-01,153038.6666666667
2005-05-01,150820.93548387094
2005-06-01,149117.10000000003
2005-07-01,143022.64516129036
2005-08-01,131817.83870967742
2005-09-01,119917.06666666668
2005-10-01,111182.93548387096
2005-11-01,105565.16666666669
2005-12-01,114818.22580645162
2006-01-01,125868.22580645162
2006-02-01,132487.78571428574
2006-03-01,146069.90322580645
2006-04-01,156242.53333333333
2006-05-01,155475.09677419355
2006-06-01,148123.73333333328
2006-07-01,135400.77419354836
2006-08-01,120067.48387096774
2006-09-01,101204.03333333334
2006-10-01,89686.87096774195
2006-11-01,82469.8
2006-12-01,89418.83870967742
2007-01-01,126255.0
2007-02-01,156446.42857142858
2007-03-01,159955.80645161294
2007-04-01,165562.2333333333
2007-05-01,164786.8064516129
2007-06-01,161607.0
2007-07-01,152344.67741935482
2007-08-01,144042.51612903227
2007-09-01,126776.5
2007-10-01,106063.6129032258
2007-11-01,94682.63333333332
2007-12-01,87515.22580645162
2008-01-01,86901.4516129032
2008-02-01,112464.96551724138
2008-03-01,137177.90322580645
2008-04-01,153227.06666666665
2008-05-01,157628.67741935482
2008-06-01,154111.1666666667
2008-07-01,145003.61290322582
2008-08-01,132141.67741935482
2008-09-01,116639.93333333336
2008-10-01,104239.90322580644
2008-11-01,95697.16666666669
2008-12-01,95457.74193548385
2009-01-01,113725.64516129032
2009-02-01,135940.46428571432
2009-03-01,147638.22580645158
2009-04-01,156707.56666666665
2009-05-01,157646.16129032255
2009-06-01,152055.3666666667
2009-07-01,145621.87096774194
2009-08-01,140323.9032258064
2009-09-01,135087.5666666667
2009-10-01,130608.87096774194
2009-11-01,129899.56666666668
2009-12-01,136179.74193548382
2010-01-01,143647.77419354834
2010-02-01,148223.10714285716
2010-03-01,156571.87096774194
2010-04-01,160620.53333333333
2010-05-01,155536.58064516133
2010-06-01,148359.2666666667
2010-07-01,137601.80645161288
2010-08-01,125244.54838709674
2010-09-01,106993.06666666668
2010-10-01,92736.12903225806
2010-11-01,82873.89999999998
2010-12-01,83629.12903225806
2011-01-01,112249.03225806452
2011-02-01,130776.10714285714
2011-03-01,154055.83870967742
2011-04-01,172539.93333333338
2011-05-01,176892.06451612903
2011-06-01,173656.16666666666
2011-07-01,166086.74193548382
2011-08-01,155209.7096774194
2011-09-01,139445.56666666668
2011-10-01,125700.0
2011-11-01,117531.76666666666
2011-12-01,116428.54838709676
2012-01-01,139592.09677419355
2012-02-01,156538.75862068965
2012-03-01,157975.32258064518
2012-04-01,154645.93333333332
2012-05-01,149589.64516129033
2012-06-01,144590.3
2012-07-01,139533.41935483873
2012-08-01,124970.12903225808
2012-09-01,104772.23333333332
2012-10-01,84328.83870967742
2012-11-01,68558.80000000002
2012-12-01,59904.09677419355
2013-01-01,63892.48387096775
2013-02-01,85630.32142857142
2013-03-01,98464.93548387096
2013-04-01,119072.4
2013-05-01,125237.4516129032
2013-06-01,127750.56666666664
2013-07-01,125512.80645161288
2013-08-01,116733.3870967742
2013-09-01,103616.96666666666
2013-10-01,94824.77419354836
2013-11-01,86185.13333333333
2013-12-01,84619.12903225806
2014-01-01,83909.70967741936
2014-02-01,73484.07142857142
2014-03-01,71303.25806451612
2014-04-01,74638.96666666665
2014-05-01,75984.87096774195
2014-06-01,75253.7
2014-07-01,71561.51612903226
2014-08-01,66164.48387096773
2014-09-01,55962.69999999999
2014-10-01,44958.03225806452
2014-11-01,33694.433333333334
2014-12-01,34970.70967741934
2015-01-01,37535.90322580645
2015-02-01,37589.46428571429
2015-03-01,49093.03225806453
2015-04-01,63963.33333333333
2015-05-01,71455.54838709677
2015-06-01,73858.00000000003
2015-07-01,75026.6129032258
2015-08-01,73213.58064516126
2015-09-01,67992.66666666666
2015-10-01,60733.483870967735
2015-11-01,55745.13333333333
2015-12-01,58376.38709677419
2016-01-01,73432.06451612904
2016-02-01,97939.79310344829
2016-03-01,112250.19354838712
2016-04-01,118440.6
2016-05-01,116031.8387096774
2016-06-01,115400.73333333332
2016-07-01,109631.70967741936
2016-08-01,98463.09677419353
2016-09-01,88163.46666666666
2016-10-01,75413.6451612903
2016-11-01,68898.00000000003
2016-12-01,68154.16129032259
2017-01-01,69836.6129032258
2017-02-01,80383.46428571428
2017-03-01,83858.09677419353
2017-04-01,84446.43333333332
2017-05-01,85763.16129032258
2017-06-01,87199.13333333335
2017-07-01,82202.35483870965
2017-08-01,71411.64516129032
2017-09-01,58140.100000000006
2017-10-01,41542.35483870968
2017-11-01,36730.66666666666
2017-12-01,41714.096774193546
2018-01-01,57209.95854334678
2018-02-01,69664.15443638393
2018-03-01,80577.46068548385
2018-04-01,88750.3890625
2018-05-01,87345.2613407258
2018-06-01,83757.28828125002
2018-07-01,75139.91406249997
2018-08-01,63494.00189012097
2018-09-01,51353.78203125
2018-10-01,42818.87978830645
2018-11-01,42744.70416666667
2018-12-01,53073.601436491925
2019-01-01,56546.95627520161
2019-02-01,55051.723493303565
2019-03-01,71944.08215725806
2019-04-01,86340.91458333333
2019-05-01,93919.07837701612
2019-06-01,96595.6755208333
2019-07-01,93864.16406249999
2019-08-01,85824.6058467742
2019-09-01,71255.35455729166
2019-10-01,53714.41696068548
2019-11-01,41327.83671875
2019-12-01,39617.722656250015
2020-01-01,43672.99357358871
2020-02-01,64905.24434267242
2020-03-01,94804.26033266127
2020-04-01,108332.38177083332
2020-05-01,111487.77142137096
2020-06-01,109743.11197916669
2020-07-01,103031.31123991936
2020-08-01,91466.26260080641
2020-09-01,76883.68177083331
2020-10-01,56278.213205645145
2020-11-01,42067.16627604167
2020-12-01,34715.21509576613
2021-01-01,43348.36441532257
2021-02-01,53008.285993303565
2021-03-01,67511.36567540324
2021-04-01,71768.07291666667
2021-05-01,67691.73374495968
2021-06-01,62137.92408854168
2021-07-01,56244.405745967735
2021-08-01,48572.0060483871
2021-09-01,37700.89544270833
2021-10-01,34877.18157762098
2021-11-01,38553.859505208326
2021-12-01,44591.54557291666
2022-01-01,56478.126302083336
